index,n,name,place_id,,
19,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
29,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
11910,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
28636,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
37155,"觀光客,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
29507,"觀光客,",泰成水果店,ChIJQROa52Z2bjQRZhtrL1YtunU,,
4434,"觀光客,",窄門咖啡館,ChIJq-hjV312bjQRc2uqPnxTEwg,,
39916,"觀光客,",福生小食店,ChIJNbLHWHp2bjQRa8rrUkFUtCA,,
9,"觀光客,",阿卿杏仁茶,ChIJmRZM5Hp2bjQR32-o_mnWixs,,
12228,"觀光客,",阿卿杏仁茶,ChIJmRZM5Hp2bjQR32-o_mnWixs,,
19917,"觀光客,",阿卿杏仁茶,ChIJmRZM5Hp2bjQR32-o_mnWixs,,
18,"觀光客,",雙全紅茶,ChIJhwhoW2N2bjQRsQRMoD4STa4,,
2082,"觀光客,",克林台包,ChIJG3mSXX12bjQR3fbtCNTeg3s,,
12229,"觀光客,",克林台包,ChIJG3mSXX12bjQR3fbtCNTeg3s,,
40070,"觀光客,",石精臼點心城,ChIJdfUXcWF2bjQR85RoTVy0syc,,
10834,"觀光客,",呷霸浮水魚羹,ChIJcV-RgmF2bjQRoXD_48bOURU,,
6280,"觀光客,",陳記真正紅燒土魠,ChIJawGn_4t2bjQRK2AGrUnetag,,
5,"觀光客,",永樂燒肉飯,ChIJa3IWs2Z2bjQRx_Sgx3NInbI,,
34919,"觀光客,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
22,"觀光客,",萬川號餅舖,ChIJ5VuXVoh2bjQR1zv8Yvn8JBE,,
12126,"觀光客,",阿憨鹹粥,ChIJ1_N-XPV2bjQReZQ0UpjNZv8,,
22816,"觀,　膽膽麵,　麵,　滿,",度小月原始店Du Hsiao Yueh Original Restaurant,ChIJwe_HQGN2bjQRq4DHLs6aj48,,
122,"鹽蒸魚,　肚,",福生小食店,ChIJNbLHWHp2bjQRa8rrUkFUtCA,,
15347,"鹽酥雞,　炸米血,　炸物,　肉,　柴,　生意,",千香麥香雞專賣店（東安後甲店）,ChIJga89R5V2bjQR9IGfcoTYJgk,,
123,"鹽酥雞,　味道,　雞排,　胡椒粉,",千香麥香雞專賣店（東安後甲店）,ChIJga89R5V2bjQR9IGfcoTYJgk,,
34734,"鹽巴,",康樂街牛肉湯,ChIJOwhpYmZ2bjQR9O1IbVc0X4s,,
