,0
442,羹
443,意麵
444,鱔魚
445,湯
446,"醋味,"
447,鱔魚
448,意麵
449,麻油
450,"豬心,"
451,鱔魚
452,"意麵,"
453,"鱔魚量,"
454,鱔魚
455,"價格,"
456,鱔魚
457,"味道,"
458,鱔魚骨
459,"藥膳湯,"
460,"鱔魚,"
461,鱔魚
462,料理
463,Q彈
464,魷魚
465,"豬肝湯,"
466,鱔魚
467,"料理,"
468,鱔魚
469,"味道,"
470,"鱔魚,"
471,"鱔魚,"
472,鱔魚
473,"意麵,"
474,鱔魚
475,口感
476,"麵條,"
477,"鱔魚,"
478,"鱔魚,"
479,鱔魚
480,"口感,"
481,鱔魚
482,炒
483,"麵,"
484,鱔魚
485,炒
486,麵
487,甜味
488,"特色,"
489,鱔魚
490,炒
491,"麵,"
492,鱔魚
493,炒
494,"麵,"
495,"鱔魚,"
496,鱔魚
497,麻油
498,炒
499,"腰花,"
500,鱔魚
501,魚皮
502,湯量
503,味道
504,鱔魚
505,"意麵,"
506,"鱔魚,"
507,鱔魚
508,風味
509,"份量,"
510,"鱔魚,"
511,鱔魚
512,口味
513,"意麵,"
514,鱔魚
515,腰花
516,"口味,"
517,鱔魚
518,花枝
519,"火候,"
520,鱔魚
521,"花枝,"
522,鱔魚
523,"料,"
524,鱔魚
525,"腥味,"
526,鱔魚
527,麵
528,"整體,"
529,鱔魚
530,脆度
531,"腥味,"
532,"鱔魚,"
533,鱔魚
534,"口感,"
535,"鱔魚,"
536,鱔魚
537,口味
538,豬肝湯
539,味 
540,平價
541,"小吃,"
542,鱔魚
543,"口,"
544,鱔魚
545,花枝
546,麻油
547,腰子
548,鱔魚
549,意麵
550,外地人
551,"口味,"
552,"餅,"
553,nan
554,早餐
555,鹹
556,粥
557,"粥,"
558,古蹟
559,咖啡
560,咖啡
561,口味
562,"想像,"
563,nan
564,花生
565,膏狀
566,豆花
567,老闆
568,"寶,"
569,土魠魚
570,羹
571,湯頭
572,土魠魚
573,油
574,麵條
575,湯汁
576,"嘴,"
577,nan
578,口感
579,"口,"
580,nan
581,口味
582,"台南人,"
583,nan
584,味道
585,湯包
586,紅油
587,炒手
588,"選擇,"
589,nan
590,nan
591,鍋
592,份量
593,女生
594,"樣,"
595,"蘿蔔湯,"
596,蘿蔔
597,"湯頭,"
598,蘿蔔
599,香菇
600,滷肉
601,"米糕,"
602,蘿蔔
603,米糕
604,"整體,"
605,"起司包,"
606,鰻魚飯
607,"刺,"
608,nan
609,饕客
610,肉圓
611,四神湯
612,小度湯
613,"口味,"
614,nan
615,nan
616,"味道,"
617,燒
618,鳥
619,鳥
620,興趣
621,"朋友,"
622,熟客
623,春捲
624,口味
625,"紙盒,"
626,"生意,"
627,nan
628,肉燥飯
629,"魚丸湯,"
630,肉粽
631,"特色,"
632,"牛肉湯,"
633,桂花
634,"酸梅湯,"
635,棺材板
636,甜味
637,咖哩
638,吐司
639,"口味,"
640,"最愛,"
641,在地人
642,"肉粽,"
643,店家
644,"煎餅,"
645,"菜粽,"
646,nan
647,肉圓
